"RelativePath","Name","Extension","SizeMB","SizeBytes","CreationTime","LastWriteTime"
"\.gitignore",".gitignore",".gitignore","0","159","14.02.2026 22:49:55","17.03.2026 21:07:50"
"\config.json","config.json",".json","0","142","16.01.2026 21:26:20","01.09.2026 13:10:25"
"\files.csv","files.csv",".csv","0","0","01.09.2026 14:09:42","01.09.2026 14:09:42"
"\Księga Kampanii (AutoRecovered).odt","Księga Kampanii (AutoRecovered).odt",".odt","10,28","10778597","16.02.2026 08:25:23","16.02.2026 08:25:24"
"\Księga Kampanii.odt","Księga Kampanii.odt",".odt","14,64","15356124","15.02.2026 15:49:59","26.01.2026 20:36:25"
"\Szyszek token Card.card","Szyszek token Card.card",".card","0,21","219444","17.04.2026 11:06:43","17.04.2026 11:47:12"
"\.cache\card_types.json","card_types.json",".json","0","63","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\.cache\file_cache.json","file_cache.json",".json","0,03","26726","16.01.2026 21:26:17","01.09.2026 11:50:23"
"\ContentPackage\Arkham Poznań.pack","Arkham Poznań.pack",".pack","0,02","16355","01.09.2026 11:37:31","01.09.2026 11:50:43"
"\ContentPackage\DRUK2.pdf","DRUK2.pdf",".pdf","111,9","117340438","17.04.2026 12:03:51","17.04.2026 12:09:33"
"\ContentPackage\Druk_check.pdf","Druk_check.pdf",".pdf","607,14","636629807","01.09.2026 12:04:19","01.09.2026 12:04:43"
"\ContentPackage\printTest_.pack","printTest_.pack",".pack","0,01","6947","20.02.2026 15:46:22","20.02.2026 15:50:23"
"\export\Przerażony Wikariusz_advanced_a.png","Przerażony Wikariusz_advanced_a.png",".png","1,46","1533226","27.01.2026 09:41:22","27.01.2026 09:41:22"
"\export\Przerażony Wikariusz_advanced_b.png","Przerażony Wikariusz_advanced_b.png",".png","1,15","1202348","27.01.2026 09:41:22","27.01.2026 09:41:22"
"\Ikony spotkań\a.png","a.png",".png","0,02","23491","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\b.png","b.png",".png","0,03","29553","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\c.png","c.png",".png","0,03","32258","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\d.png","d.png",".png","0,03","32269","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\e.png","e.png",".png","0,03","28144","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\f.png","f.png",".png","0,03","32195","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\g.png","g.png",".png","0,04","37367","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\h.png","h.png",".png","0,04","41229","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\i.png","i.png",".png","0,03","34279","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\j.png","j.png",".png","0,05","50293","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\k.png","k.png",".png","0,04","40409","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\l.png","l.png",".png","0,03","35318","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\m.png","m.png",".png","0,03","32486","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Ikony spotkań\n.png","n.png",".png","0,04","36770","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Inspiracje, Materialy\Kurier Poznański 1921.05.03 R.16 nr101 s10.png","Kurier Poznański 1921.05.03 R.16 nr101 s10.png",".png","0,92","967054","08.03.2026 16:58:57","08.03.2026 16:58:58"
"\Inspiracje, Materialy\Kurier Poznański 1926.07.14 R.21 nr318 s.png","Kurier Poznański 1926.07.14 R.21 nr318 s.png",".png","0,44","462121","16.01.2026 22:57:23","16.01.2026 22:57:24"
"\Inspiracje, Materialy\Kurier Poznański 1926.07.14 R.21 nr318 sx.png","Kurier Poznański 1926.07.14 R.21 nr318 sx.png",".png","0,63","658784","16.01.2026 22:58:09","16.01.2026 22:58:09"
"\Inspiracje, Materialy\Kurier Poznański 1926.07.31 R.21 nr348 s5.png","Kurier Poznański 1926.07.31 R.21 nr348 s5.png",".png","0,11","119657","08.03.2026 19:43:50","08.03.2026 19:43:50"
"\Inspiracje, Materialy\Kurier Poznański 1928.04.07 R.23 nr164 s20.png","Kurier Poznański 1928.04.07 R.23 nr164 s20.png",".png","0,8","834551","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Inspiracje, Materialy\Kurier Poznański 1928.04.07 R.23 nr164 s23.png","Kurier Poznański 1928.04.07 R.23 nr164 s23.png",".png","0,22","230935","16.01.2026 21:26:17","16.01.2026 21:26:17"
"\Inspiracje, Materialy\Screenshot 2026-01-18 193054.png","Screenshot 2026-01-18 193054.png",".png","0,15","158311","18.01.2026 19:31:04","18.01.2026 19:31:04"
